restaurant_foursquare_v1,restaurant_name,restaurant_address,menu_section,menu_subsection,item_number,item_name,item_price,item_price_values,item_price_keys,item_description
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Joe’s Cheeseborgers,9.95,,,"1/2 pound patty of price angus beef, topped with choice of cheese, and served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Wrigleyville Fully Loaded,9.95,,,"Crisp smoked bacon, drizzled Joe’s BBQ sauce, and your choice of cheese. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Chicken Fingers,8.95,,,Breaded or blackened.
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Burned Out Bleu,9.95,,,"Topped with bleu cheese on a garlic toasted bun. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Patty Melt,9.95,,,"Cheddar and Swiss cheeses, grilled onion, served on rye bread. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Beverages,,20 oz. Coke,3.0,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Beverages,,20 oz. Diet Coke,3.0,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Beverages,,20 oz. Sprite,3.0,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Chili,4.5,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Onion Mound,5.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Mozzarella Sticks [Not Available] ,6.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Jumbo Chicken wings,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Chicken Fingers,8.95,,,Breaded or blackened.
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Fried Calamari,10.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Jumbo Fried Shrimp,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Oysters on 1/2 Shells,7.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Oyster Rockefeller,9.95,,,1/2 dozen.
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Appetizer Sampler,12.95,,,"Mozzarella sticks, chicken wings, chicken fingers, and onion rings."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Fresh Salads,,House Salad,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Fresh Salads,,Tex Mex Salad,9.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Fresh Salads,,Cobb Salad,9.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Fresh Salads,,Caesar Salad,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Joe’s Cheeseborgers,9.95,,,"1/2 pound patty of price angus beef, topped with choice of cheese, and served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Irving Park Roast Trip,9.95,,,"Pepper jack cheese, homemade guacamole, and salads topped with a dab of sour cream. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Bears Sunday Shuffle,9.95,,,"Joe’s sloppy Joe, pepper jack and cheese cheese, and onion mound. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Wrigleyville Fully Loaded,9.95,,,"Crisp smoked bacon, drizzled Joe’s BBQ sauce, and your choice of cheese. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Chicago Joe’s Sunday Brunch,9.95,,,"Fried egg, bacon, cheddar cheese, maple syrup, served on french toast. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Garlic Mango,9.95,,,"Joe’s mango sauce, garlic butter, Swiss cheese, onion mound, lettuce, tomato, and mayo. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Burned Out Bleu,9.95,,,"Topped with bleu cheese on a garlic toasted bun. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,China Town,9.95,,,"Teriyaki sauce, onion mound, grilled pineapple, cheddar cheese, lettuce, tomato, and mayo. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Botanical Garden of Joe’s,9.95,,,"Mushrooms, tomatoes, lettuce, onion, pickles, and your choice of cheese. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Joe’s Mini-Burgers,9.95,,,"3 mini burgers topped with grilled onions and your choice of cheese.  Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Patty Melt,9.95,,,"Cheddar and Swiss cheeses, grilled onion, served on rye bread. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Veggie Burger,9.95,,,"Topped with mozzarella cheese and sliced avocado. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,Pepper and Egg Sandwich,7.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,Sloppy Joe,7.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,BLT,7.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,Joe’s Italian Beef,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,Reuben,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,Corned Beef,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,Chicken Parmesan Sandwich,9.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,Fish Sandwich,9.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,Chicken Sandwich,9.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Sandwich Poll,,Steak Sandwich,10.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,Meatloaf,11.95,,,With mashed potatoes.
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,Pan Fried Chicken,11.95,,,With mashed potatoes.
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,Chicken Breast,13.95,,,Skinless and boneless.
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,Beer Battered Fish,13.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,1/2 Roasted Chicken,14.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,1/2 Roasted BBQ Chicken,14.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,Greek Chicken,14.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,1/2 Slab of Ribs,14.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,Full Slab of Ribs,19.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,Fried Shrimp Dinner,19.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,Steak Filet,19.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Dinners,,Salmon,19.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Combo,,Shrimp and Ribs,18.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Combo,,Chicken and Shrimp,18.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Combo,,Chicken and Ribs,19.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Combo,,Triple Plate,21.95,,,"Shrimp, chicken, and ribs."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Desserts,,Hot Apple Pie,4.0,,,Cinnamon ice cream and apple topping
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Desserts,,Key Lime Pie,4.0,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Desserts,,Cheesecake,4.0,,,
