restaurant_foursquare_v1,restaurant_name,restaurant_address,menu_section,menu_subsection,item_number,item_name,item_prices,item_description
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Mrs. O’Leary’s Firehouse Chili,3.95|4.5,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Joe's Special Gumbo,3.95|4.5,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Soup Of The Day,3.5|3.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Onion Mound,5.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Fried Calamari,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Raw Oysters And Clam,,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Oysters Rockefeller,9.95,(1/2 dozen)
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Baked Clams,9.95,(1/2 dozen)
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Clams Casino,9.95,(1/2 dozen)
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Steamed Clams,10.95,(1 dozen)
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Grilled Calamari,10.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Fried Jumbo Shrimp,3.25,each
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Joe's Buffalo Wings,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Mozzarella Stix Marinara,7.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Blackened Shrimp,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Fried Shrimp Appetizer,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Sauteed Garlic Shrimp,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Blackened Chicken Fingers,6.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Coconut Shrimp,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Peel & Eat Shrimp,7.95|12.95,(by the 1/2 pound or the 1/4 pound)
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Tex Mex,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Julienne,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Spinach,7.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Caesar,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Large House,7.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Cobb,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,,,"Dressings: Thousand, Creamy Garlic, Italian, French And House"
306878,Chicago Joe's,2256 W Irving Park Rd,,Study Shows Joe's Pasta Chicago's Best,,Mostaccioli,12.95,with sausage
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Cheezeborgers,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Veggie Burger,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Turkey Burger,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Ribwich,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Fish Sandwich,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Grilled Reuben,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Sloppy Joe's,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Corned Beef Or Rye,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,6 Oz. Tenderloin Steak Sandwich,10.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Breast Of Chicken Sandwich,9.95,"blackened, bbq, grilled"
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,,,"All Sandwiches Served With Coleslaw, Choice Of Potato Salad, Fruit Salad Or Fries And Garnish"
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Chicago's Greatest - After 5:00 Pm,,Mon.,10.95,chef's choice
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Chicago's Greatest - After 5:00 Pm,,Tues.,10.95,chef's choice
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Chicago's Greatest - After 5:00 Pm,,Wed.,10.95,stuffed shells with sausage & peppers
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Chicago's Greatest - After 5:00 Pm,,Thur.,10.95,baked or bbq pork chop
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Chicago's Greatest - After 5:00 Pm,,Fri.,15.95,seafood platter
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Chicago's Greatest - After 5:00 Pm,,Sat.,15.95,joe's homemade crabcakes
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Chicago's Greatest - After 5:00 Pm,,Sun.,10.95,roast pork & dressing
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Chicago's Greatest - After 5:00 Pm,,,,Served With Soup Or Salad And A Fresh Vegetable
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Voted #1,,Ribs,14.95|19.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Voted #1,,Chicken Parmigiana,14.95,with pasta or potato
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Voted #1,,8 Oz. Fillet,19.95,broiled or blackened
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Voted #1,,Grilled Breast Of Chicken,13.95,boneless & skinless
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Voted #1,,1/2 Roast Or B.B.Q. Chicken,12.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Voted #1,,Fried Shrimp,19.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Voted #1,,Fresh White Fish,18.95,broiled or blackened
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Voted #1,,Ma's Homemade Meatloaf,10.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Dinner's Voted #1,,,,They Just Don't Get Any Better Than This
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Combination,,Chicken & Ribs,17.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Combination,,Chicken & Shrimp,17.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Combination,,Shrimp & Ribs,18.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Combination,,"Joe's Triple Play - Chicken, Ribs & Shrimp",19.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Combination,,Blackened Chicken Breast & Shrimp Grilled Shrimp Scampi,18.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Final Edition,,Key Lime Pie,4.0,
306878,Chicago Joe's,2256 W Irving Park Rd,,Final Edition,,Chicago Style Cheesecake,4.0,
306878,Chicago Joe's,2256 W Irving Park Rd,,Final Edition,,Joe's Famous Banana Split,5.0,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,Heineken,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,Amstel Lite,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,Becks,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,Miller Lite,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,Miller Genuine Draft,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,Old Style,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,Weiss,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,Corona,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,Budweiser,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Bottled,,,,"Wine ( By The Glass Or Bottle ), Booze (We Have It All)"
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Draft,,Blue Moon,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Draft,,Miller Lite,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Draft,,Sam Adam's,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Draft,,Bass Ale,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Draft,,Harp,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Ends Prohibition - Draft,,Guinness,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Complimentary Glass Of Champagne,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,French Toast,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Eggs Any Style,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Sausage,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Bacon,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,BBQ  Ribs,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Fried Chicken,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Bagels,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Potatoes O'brien,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Baked Ham,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Smoked Salmon,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Assorted Salads,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Quiche,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Lox And Cream Cheese,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Muffins,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Pastries,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Coffee Cake,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Stuffed Shells,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Fresh Fruit,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,Homemade Breads,,
306878,Chicago Joe's,2256 W Irving Park Rd,,Sunday Brunch,,,,"And ""Da Beast"" Eggs Benedict On Irving Park"
